,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
1021,No,60,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.8,0
195,Yes,7,Yes,No,DSL,No,No,Month-to-month,No,69.7,0
3684,Yes,61,Yes,Yes,DSL,Yes,Yes,Two year,Yes,68.05,0
104,No,65,No,Yes,Fiber optic,Yes,No,One year,Yes,106.25,1
1081,No,23,No,No,Fiber optic,No,No,Month-to-month,Yes,74.95,1
2249,No,19,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.95,0
2296,No,62,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,115.05,0
1780,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,80.0,0
1287,Yes,58,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.5,0
2311,Yes,61,No,No,DSL,Yes,Yes,Two year,Yes,73.8,0
2526,Yes,4,No,No,DSL,No,No,Month-to-month,No,44.8,0
3351,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,69.35,1
4022,No,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.25,0
3995,No,22,Yes,No,Fiber optic,No,No,Month-to-month,Yes,100.75,1
2777,No,46,No,Yes,Fiber optic,Yes,Yes,Two year,No,108.65,0
1540,No,34,No,No,DSL,No,Yes,Month-to-month,No,50.2,0
3287,No,13,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,79.25,1
2909,No,5,No,No,Fiber optic,No,No,Month-to-month,No,69.95,1
4882,No,7,No,No,Fiber optic,No,No,Month-to-month,No,95.0,1
768,Yes,39,No,No,Fiber optic,No,Yes,Two year,No,100.55,0
370,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,78.95,1
2703,No,59,No,No,DSL,Yes,No,One year,Yes,61.35,0
2381,Yes,25,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.15,0
612,Yes,7,No,No,Fiber optic,No,No,Month-to-month,Yes,71.05,0
299,No,52,No,No,Fiber optic,No,No,Month-to-month,Yes,72.95,0
4404,No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.8,1
1656,No,33,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,50.0,0
411,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,93.55,1
230,No,24,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,89.25,0
59,No,70,No,Yes,DSL,Yes,Yes,Two year,No,57.8,0
4580,No,45,Yes,No,DSL,No,Yes,Two year,No,73.55,0
4217,No,54,Yes,Yes,Fiber optic,No,No,One year,Yes,100.05,0
3431,No,3,No,No,Fiber optic,No,No,Month-to-month,No,74.5,0
1907,No,27,No,No,Fiber optic,Yes,No,Month-to-month,Yes,81.3,0
3526,Yes,23,No,No,DSL,No,Yes,One year,Yes,49.45,0
1591,No,42,No,No,DSL,Yes,Yes,Two year,No,66.5,0
892,No,9,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,0
2680,No,36,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,87.55,1
1840,No,25,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,81.75,0
2595,Yes,72,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.3,0
421,Yes,59,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,96.65,0
3858,No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,94.75,0
4339,No,65,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,111.05,0
4349,No,27,No,No,Fiber optic,No,No,Month-to-month,Yes,69.05,0
2763,No,33,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,0
1136,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.95,0
1603,Yes,6,No,No,DSL,No,Yes,Month-to-month,Yes,48.8,0
3583,Yes,61,No,No,DSL,Yes,No,One year,Yes,65.2,0
776,Yes,42,Yes,Yes,DSL,No,No,Month-to-month,No,54.5,0
3376,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,70.1,1
212,No,56,No,Yes,Fiber optic,Yes,No,One year,Yes,104.75,1
2798,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.8,1
3174,Yes,35,No,No,Fiber optic,Yes,No,One year,Yes,85.15,1
4112,Yes,6,No,Yes,DSL,Yes,No,Month-to-month,Yes,55.3,1
532,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,74.05,0
2384,No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,75.15,1
4332,No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,75.35,0
1220,Yes,17,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.15,0
4284,No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.55,0
268,No,31,No,No,Fiber optic,Yes,Yes,Two year,No,99.45,0
3594,No,23,No,No,Fiber optic,No,No,Month-to-month,Yes,93.5,0
2836,No,20,No,No,Fiber optic,No,No,Month-to-month,No,78.8,0
2082,No,49,No,Yes,Fiber optic,No,No,Month-to-month,Yes,85.3,0
2679,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.45,1
1816,Yes,43,Yes,Yes,Fiber optic,No,Yes,One year,Yes,106.0,0
2696,No,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.1,0
3554,No,50,Yes,No,DSL,No,Yes,One year,Yes,35.4,0
222,No,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.6,0
1236,No,72,No,Yes,Fiber optic,Yes,Yes,Two year,No,109.7,0
2231,Yes,44,No,No,Fiber optic,Yes,No,Month-to-month,Yes,92.95,0
1037,Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,0
478,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,83.3,1
1091,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.5,0
2995,No,3,Yes,Yes,DSL,No,Yes,Two year,No,71.1,0
4195,No,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.85,0
2898,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.3,0
3331,Yes,49,No,Yes,Fiber optic,No,No,Month-to-month,Yes,98.35,0
1746,No,7,Yes,No,Fiber optic,No,No,Month-to-month,No,74.35,0
4426,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,69.6,0
255,Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,0
2543,No,32,Yes,No,DSL,No,No,One year,No,30.15,0
1219,No,24,No,Yes,DSL,Yes,No,Month-to-month,Yes,54.15,1
2866,Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,91.25,0
3575,No,38,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,103.65,0
3302,No,13,No,No,DSL,No,No,Month-to-month,Yes,25.15,0
2186,No,13,No,Yes,Fiber optic,No,No,One year,Yes,74.65,0
4747,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.7,0
2039,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,80.35,1
4742,No,56,No,Yes,DSL,Yes,Yes,Two year,Yes,81.8,0
2181,Yes,72,Yes,No,DSL,Yes,No,Two year,Yes,71.45,0
1731,No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,76.2,1
4395,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,68.95,0
1100,No,72,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,117.8,1
985,No,40,No,No,Fiber optic,No,No,Month-to-month,No,83.85,0
4904,No,53,Yes,Yes,Fiber optic,Yes,Yes,One year,No,110.5,0
3827,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,84.55,1
3706,No,52,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,95.65,0
4847,No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.0,1
3244,Yes,72,No,Yes,DSL,No,Yes,Two year,Yes,78.95,0
2302,Yes,52,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.85,0
714,Yes,56,Yes,Yes,DSL,Yes,No,Two year,Yes,59.8,0
3597,Yes,24,Yes,Yes,DSL,Yes,Yes,Two year,Yes,52.5,0
4342,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.85,0
3427,No,10,No,Yes,DSL,No,Yes,One year,No,64.9,0
4188,No,28,No,No,Fiber optic,Yes,Yes,Month-to-month,No,91.0,0
1872,No,2,Yes,Yes,Fiber optic,No,No,Month-to-month,No,100.2,0
2363,No,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,98.25,1
74,Yes,9,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.6,0
375,Yes,35,No,No,DSL,No,Yes,One year,Yes,73.45,0
1650,No,65,No,No,DSL,No,Yes,Two year,Yes,59.8,0
2685,No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,94.65,0
2184,Yes,35,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.65,0
3805,No,46,Yes,Yes,Fiber optic,Yes,No,One year,Yes,95.65,0
4758,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,111.95,0
2040,No,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,0
738,Yes,40,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,26.2,0
3180,Yes,67,No,Yes,DSL,Yes,Yes,Two year,Yes,59.55,0
287,No,34,Yes,Yes,Fiber optic,Yes,Yes,One year,No,116.25,0
2852,Yes,20,No,No,DSL,Yes,No,Month-to-month,Yes,49.6,0
3195,No,13,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.3,0
4827,Yes,65,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.8,0
4419,No,49,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,106.65,0
3392,Yes,43,Yes,Yes,DSL,No,No,Month-to-month,Yes,63.95,0
76,Yes,51,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.95,0
2286,No,1,No,No,Fiber optic,Yes,No,Month-to-month,Yes,79.55,1
883,No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,73.3,0
2019,No,22,No,No,Fiber optic,No,No,Month-to-month,Yes,95.1,0
3839,No,3,No,No,DSL,Yes,Yes,Month-to-month,Yes,55.8,0
2928,Yes,46,Yes,No,DSL,Yes,Yes,One year,No,56.9,0
3066,Yes,69,No,Yes,DSL,Yes,No,Two year,Yes,54.95,0
815,No,7,No,No,DSL,No,Yes,Month-to-month,Yes,70.75,1
2779,No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.65,1
3918,No,50,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.05,1
4479,No,52,Yes,Yes,Fiber optic,No,Yes,One year,Yes,111.25,1
1126,No,71,Yes,No,Fiber optic,No,No,Two year,Yes,80.7,0
2013,No,37,No,No,Fiber optic,Yes,Yes,Month-to-month,No,90.0,0
2028,No,2,No,No,DSL,No,No,Month-to-month,Yes,34.7,1
3060,No,56,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,105.45,0
1516,Yes,65,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.45,0
412,Yes,16,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,112.95,0
2334,No,72,No,Yes,Fiber optic,Yes,No,Two year,Yes,103.75,0
4901,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,70.4,1
1555,No,8,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.5,1
1070,No,63,Yes,Yes,DSL,Yes,Yes,One year,Yes,84.0,0
593,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.75,0
2990,Yes,43,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,40.45,0
2426,No,57,Yes,No,DSL,Yes,No,Two year,Yes,74.35,0
2916,Yes,49,Yes,No,DSL,No,Yes,One year,Yes,35.8,0
1887,No,41,No,Yes,Fiber optic,No,Yes,Two year,Yes,98.8,0
304,Yes,55,Yes,Yes,DSL,No,Yes,Two year,No,57.55,1
4635,No,63,No,No,Fiber optic,No,Yes,One year,Yes,81.2,0
925,No,58,No,Yes,DSL,No,Yes,Two year,Yes,59.9,0
388,Yes,70,Yes,No,DSL,No,Yes,Two year,No,75.35,0
1263,Yes,53,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,0
3029,No,2,No,No,Fiber optic,No,No,Month-to-month,No,81.5,0
346,No,3,No,No,DSL,No,Yes,Month-to-month,Yes,29.9,0
1080,No,3,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,89.85,0
285,Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,0
3053,No,56,Yes,No,Fiber optic,No,No,One year,Yes,98.0,0
78,No,67,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.45,0
3711,No,65,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.45,0
4365,No,2,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,86.25,1
4513,No,66,Yes,Yes,DSL,Yes,Yes,Two year,Yes,62.5,0
1770,Yes,3,No,No,DSL,No,Yes,Month-to-month,Yes,31.0,1
4107,Yes,18,No,No,Fiber optic,Yes,No,Month-to-month,No,95.15,1
3943,Yes,34,No,No,DSL,No,Yes,Two year,Yes,40.55,0
3129,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,0
3763,No,69,Yes,Yes,DSL,No,Yes,Two year,Yes,60.05,0
3726,No,39,No,Yes,Fiber optic,No,No,Month-to-month,No,90.7,0
419,Yes,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,0
1813,Yes,70,Yes,Yes,DSL,Yes,Yes,One year,No,78.35,0
3144,No,12,No,No,Fiber optic,Yes,No,Month-to-month,Yes,96.0,1
2400,No,10,Yes,No,DSL,No,No,Month-to-month,Yes,54.5,0
479,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,77.15,1
916,No,5,No,Yes,DSL,No,No,Month-to-month,No,28.45,1
77,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.8,0
1782,No,21,Yes,No,DSL,No,No,Month-to-month,No,28.5,0
331,No,9,Yes,No,DSL,No,Yes,Month-to-month,No,64.95,0
3542,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,0
3232,No,2,No,No,Fiber optic,No,No,Month-to-month,No,68.95,1
2410,No,48,Yes,No,DSL,No,Yes,One year,Yes,60.6,0
1772,Yes,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.0,1
2912,No,71,Yes,Yes,Fiber optic,Yes,No,One year,Yes,109.6,0
2840,No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,0
3716,No,20,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.65,0
2723,No,20,Yes,No,DSL,No,Yes,Month-to-month,No,59.2,0
134,Yes,26,No,Yes,DSL,No,No,One year,Yes,39.95,0
11,No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,96.25,1
960,No,66,No,Yes,DSL,Yes,No,One year,Yes,70.85,0
3603,No,51,No,Yes,DSL,No,No,Month-to-month,Yes,29.45,0
176,Yes,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,0
193,No,12,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,98.1,1
3091,Yes,67,Yes,Yes,DSL,Yes,Yes,Two year,No,54.2,0
4808,Yes,63,Yes,Yes,DSL,Yes,No,Two year,No,59.0,0
1794,No,1,No,No,DSL,No,No,Month-to-month,No,46.3,1
2716,No,35,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.25,1
1847,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.4,1
2011,Yes,1,No,No,DSL,No,No,Month-to-month,No,24.75,1
789,No,67,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,116.2,1
3092,Yes,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,23.9,0
842,No,6,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.3,1
3227,Yes,53,No,No,DSL,Yes,No,One year,No,60.6,0
2552,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,89.85,0
1055,No,17,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.15,0
2517,No,35,No,No,DSL,Yes,No,Month-to-month,No,49.2,0
3551,Yes,45,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,81.3,0
997,Yes,1,No,No,Fiber optic,No,No,Month-to-month,No,80.0,1
196,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.05,0
2301,Yes,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,0
858,No,1,No,No,DSL,No,No,Month-to-month,Yes,55.45,0
3667,No,60,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.9,1
2668,No,49,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.7,1
1577,No,12,No,Yes,DSL,No,Yes,Month-to-month,No,34.0,0
675,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.0,0
2025,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.85,1
4176,No,3,No,No,DSL,No,No,Month-to-month,No,55.15,1
4027,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,23.55,0
4255,No,32,Yes,No,Fiber optic,Yes,Yes,One year,Yes,109.55,0
1905,Yes,8,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.5,0
4114,No,54,Yes,Yes,DSL,No,No,Two year,Yes,74.55,0
2659,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.35,1
1395,No,11,No,No,DSL,Yes,No,Month-to-month,No,53.75,1
4776,Yes,29,No,No,DSL,Yes,Yes,Two year,No,75.55,0
4100,No,38,Yes,No,Fiber optic,No,No,Month-to-month,No,91.7,0
2875,No,2,Yes,No,DSL,No,No,Month-to-month,No,50.95,0
3886,No,38,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.6,0
1838,No,7,Yes,No,Fiber optic,No,No,Month-to-month,No,76.45,1
904,No,24,No,No,Fiber optic,No,Yes,Month-to-month,Yes,89.55,0
2003,Yes,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.25,0
3932,Yes,21,Yes,No,DSL,Yes,No,One year,Yes,55.95,1
3669,Yes,55,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.5,0
4294,No,31,Yes,No,DSL,No,Yes,One year,Yes,64.0,0
555,Yes,68,No,Yes,DSL,Yes,Yes,Two year,No,85.3,0
2759,No,45,Yes,No,DSL,Yes,No,Two year,No,53.3,0
1601,No,30,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.2,1
4577,Yes,64,Yes,No,DSL,Yes,Yes,Two year,Yes,60.05,0
4929,Yes,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.4,0
3334,No,29,No,No,DSL,No,No,Month-to-month,No,33.75,0
4681,No,67,Yes,No,DSL,Yes,Yes,One year,Yes,72.35,0
2835,Yes,69,No,Yes,Fiber optic,Yes,No,Two year,Yes,105.0,0
613,No,22,No,No,Fiber optic,No,No,Month-to-month,Yes,74.4,1
3165,No,68,No,Yes,Fiber optic,Yes,No,One year,No,79.6,0
1267,Yes,50,Yes,No,DSL,No,No,Month-to-month,Yes,39.45,0
1436,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.15,1
912,No,63,Yes,Yes,Fiber optic,Yes,No,Two year,No,98.0,0
2215,No,22,Yes,No,DSL,No,Yes,Month-to-month,Yes,79.2,1
403,No,56,No,No,Fiber optic,Yes,Yes,Two year,No,103.2,0
3275,No,17,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.5,0
1119,No,29,Yes,No,DSL,Yes,Yes,One year,No,58.0,0
2752,Yes,1,No,No,DSL,No,Yes,Month-to-month,No,40.1,1
4353,Yes,27,Yes,Yes,DSL,No,No,One year,No,56.2,0
2721,No,30,No,Yes,DSL,No,No,Month-to-month,Yes,50.4,1
